Mean,STD,RMS,Male/Female,Gesture
1.473,0.472937628,1.544649906,1,2
1.514666667,0.471305841,1.583963383,1,2
1.524333333,0.468987783,1.592548272,1,2
1.490666667,0.446657574,1.554007722,1,2
1.527333333,0.410339921,1.579719384,1,2
1.566666667,0.437353588,1.624606619,1,2
1.594666667,0.44886626,1.654607708,1,2
1.667666667,0.466436848,1.729573165,1,2
1.702,0.453457218,1.759424148,1,2
1.677666667,0.422273676,1.728275634,1,2
1.662,0.414158057,1.711155555,1,2
1.638333333,0.400500405,1.684989614,1,2
1.615666667,0.396846912,1.66211211,1,2
1.583333333,0.398517367,1.631093703,1,2
1.540666667,0.391116292,1.587931569,1,2
1.503,0.364806515,1.545204409,1,2
1.472,0.351503176,1.512025132,1,2
1.448666667,0.332231051,1.485036475,1,2
1.419,0.324412998,1.45440595,1,2
1.398,0.297974773,1.428367366,1,2
1.378666667,0.27884903,1.405662359,1,2
1.382333333,0.232670899,1.401134064,1,2
1.402333333,0.239822971,1.422018518,1,2
1.435333333,0.328767115,1.471280621,1,2
1.444666667,0.359968709,1.48738697,1,2
1.445666667,0.344069794,1.484718829,1,2
1.454333333,0.410791359,1.509374042,1,2
1.477333333,0.424677836,1.535204655,1,2
1.536333333,0.518495724,1.618702155,1,2
1.569333333,0.536688013,1.655669049,1,2
1.581666667,0.530881397,1.66556597,1,2
1.590333333,0.490358654,1.661805243,1,2
1.611,0.461454597,1.673667629,1,2
1.605,0.425284894,1.65857268,1,2
1.623,0.4263975,1.676270662,1,2
1.591,0.393974881,1.637474682,1,2
1.569333333,0.338413472,1.604217359,1,2
1.548,0.306688655,1.577094375,1,2
1.511,0.29988906,1.539498836,1,2
1.512,0.283578123,1.537491463,1,2
1.54,0.325025198,1.572806409,1,2
1.528666667,0.35545729,1.568107139,1,2
1.499666667,0.351268473,1.538920617,1,2
1.484,0.33708282,1.520556916,1,2
1.473,0.346769823,1.511942459,1,2
1.454333333,0.392240983,1.504596291,1,2
1.451333333,0.345899461,1.490646392,1,2
1.475333333,0.35593232,1.516269545,1,2
1.481,0.377992428,1.526917374,1,2
1.483666667,0.426634652,1.541822515,1,2
1.473333333,0.429220089,1.532579525,1,2
1.462,0.480620289,1.53646998,1,2
1.443666667,0.487325448,1.521099383,1,2
1.479666667,0.596758389,1.591748514,1,2
1.508666667,0.567691838,1.60860395,1,2
1.534333333,0.551647584,1.627375187,1,2
1.596333333,0.55112101,1.685790616,1,2
1.594333333,0.552422148,1.684308958,1,2
1.576666667,0.544814637,1.665174666,1,2
